city,state,latitude,longitude
Macon,Georgia,32.8065,-83.6974
Lakewood,Colorado,39.6977,-105.1172
Springfield,Illinois,39.7709,-89.654
Kansas City,Kansas,39.1235,-94.7443
Burlington,North Carolina,36.076,-79.4685
Warner Robins,Georgia,32.5961,-83.6527
Sunnyvale,California,37.3836,-122.0255
Hollywood,Florida,26.0293,-80.1679
Roseville,California,38.7703,-121.3196
New Bedford,Massachusetts,41.6697,-70.9428
South Lyon,Michigan,42.4614,-83.6526
Bellevue,Washington,47.5951,-122.1535
Fairfield,California,38.2583,-122.0335
Binghamton,New York,42.1014,-75.9093
Topeka,Kansas,39.0346,-95.6955
Escondido,California,33.1348,-117.0723
Joliet,Illinois,41.5188,-88.1499
Surprise,Arizona,33.6815,-112.4515
Naperville,Illinois,41.748,-88.1659
Pasadena,Texas,29.6575,-95.1498
Mesquite,Texas,32.7602,-96.5865
Champaign,Illinois,40.1142,-88.2737
Pomona,California,34.0585,-117.7626
Houma,Louisiana,29.58,-90.7059
Athens,Georgia,33.9508,-83.3689
St. George,Utah,37.0758,-113.5752
Beaumont,Texas,30.0849,-94.1451
Elkhart,Indiana,41.6916,-85.9627
Lake Charles,Louisiana,30.201,-93.2111
Santa Maria,California,34.9333,-120.4431
Yuma,Arizona,32.5995,-114.5491
Olathe,Kansas,38.8833,-94.82
Midland,Texas,32.0243,-102.1147
Greeley,Colorado,40.4152,-104.7706
Torrance,California,33.8346,-118.3416
Thornton,Colorado,39.9197,-104.9438
Las Cruces,New Mexico,32.3265,-106.7893
Columbia,Missouri,38.9472,-92.3268
Fullerton,California,33.8841,-117.9279
Grand Junction,Colorado,39.0877,-108.5673
Carolina,Puerto Rico,18.4054,-65.9792
Metairie,Louisiana,29.9977,-90.178
Orange,California,33.8038,-117.8218
Warren,Michigan,42.4934,-83.027
West Valley City,Utah,40.6886,-112.0123
Hampton,Virginia,37.0551,-76.363
Pasadena,California,34.1597,-118.139
Miramar,Florida,25.9773,-80.3351
Elizabeth,New Jersey,40.6658,-74.1913
Stamford,Connecticut,41.1039,-73.5585
Racine,Wisconsin,42.7274,-87.8135
Kent,Washington,47.3887,-122.2128
Yakima,Washington,46.5923,-120.5496
Coral Springs,Florida,26.2702,-80.2591
Sterling Heights,Michigan,42.5809,-83.0305
Billings,Montana,45.7891,-108.5526
Bloomington,Illinois,40.4757,-88.9703
Charleston,West Virginia,38.3484,-81.6322
Carrollton,Texas,32.989,-96.8999
Tyler,Texas,32.3184,-95.3062
Iowa City,Iowa,41.6559,-91.5303
Johnson City,Tennessee,36.3406,-82.3806
Santa Clara,California,37.3646,-121.968
Bellingham,Washington,48.7548,-122.469
Norman,Oklahoma,35.2335,-97.3471
Coeur d'Alene,Idaho,47.704,-116.7936
Fort Smith,Arkansas,35.3495,-94.3695
Lewisville,Texas,33.0454,-96.9815
Dover,Delaware,39.161,-75.5202
Yuba City,California,39.1357,-121.6383
Lehigh Acres,Florida,26.612,-81.6388
Abilene,Texas,32.4543,-99.7384
Simi Valley,California,34.2663,-118.749
Pearland,Texas,29.5581,-95.3218
Kenosha,Wisconsin,42.5865,-87.8773
Arecibo,Puerto Rico,18.4491,-66.7387
Meridian,Idaho,43.6116,-116.3977
Round Rock,Texas,30.527,-97.6642
Waldorf,Maryland,38.6085,-76.9194
Temple,Texas,31.1068,-97.3891
Lynchburg,Virginia,37.4003,-79.1909
Rochester,Minnesota,44.0154,-92.478
Logan,Utah,41.7399,-111.8422
Arvada,Colorado,39.832,-105.151
Clovis,California,36.8278,-119.683
Independence,Missouri,39.0871,-94.3501
Redding,California,40.5698,-122.365
Greenville,North Carolina,35.5943,-77.376
Duluth,Minnesota,46.7756,-92.1393
Berkeley,California,37.8722,-122.276
Boulder,Colorado,40.0248,-105.2524
Pueblo,Colorado,38.2701,-104.6114
West Palm Beach,Florida,26.7469,-80.132
Burlington,Vermont,44.4876,-73.2316
Seaside,California,36.6224,-121.8199
Richardson,Texas,32.9716,-96.7093
Cambridge,Massachusetts,42.3759,-71.1185
Monroe,Louisiana,32.5185,-92.0774
North Charleston,South Carolina,32.9067,-80.0722
Saginaw,Michigan,43.4199,-83.9501
Clearwater,Florida,27.979,-82.7623
The Woodlands,Texas,30.1738,-95.5134
Brandon,Florida,27.9367,-82.3
St. Cloud,Minnesota,45.534,-94.1718
West Jordan,Utah,40.6024,-112.0008
Broken Arrow,Oklahoma,36.038,-95.7806
Harlingen,Texas,26.1916,-97.6977
Kailua,Hawaii,21.392,-157.7396
Westminster,Colorado,39.8837,-105.0624
Gilroy,California,37.0046,-121.5854
Richmond,California,37.9477,-122.3389
Mandeville,Louisiana,30.3751,-90.0904
Utica,New York,43.0962,-75.2261
Ponce,Puerto Rico,18.0127,-66.6212
League City,Texas,29.4874,-95.1087
Port Arthur,Texas,29.8554,-93.9264
Lowell,Massachusetts,42.6389,-71.3217
East Los Angeles,California,34.0326,-118.1691
Carlsbad,California,33.1246,-117.2834
Elgin,Illinois,42.0383,-88.324
Waterloo,Iowa,42.4918,-92.3522
Leominster,Massachusetts,42.5209,-71.7717
Bend,Oregon,44.0563,-121.3095
Sioux City,Iowa,42.4959,-96.3901
Gresham,Oregon,45.5021,-122.4413
Longview,Texas,32.5193,-94.7622
Pompano Beach,Florida,26.2428,-80.1312
Downey,California,33.9379,-118.1311
Murrieta,California,33.5719,-117.1909
Idaho Falls,Idaho,43.4871,-112.0362
Miami Gardens,Florida,25.9433,-80.2426
Everett,Washington,47.9525,-122.1669
Holland,Michigan,42.7677,-86.0984
Costa Mesa,California,33.6667,-117.9135
Temecula,California,33.4928,-117.1315
Jacksonville,North Carolina,34.7289,-77.3941
San Buenaventura,California,34.2741,-119.2314
Sugar Land,Texas,29.5935,-95.6358
Chico,California,39.7578,-121.8161
South Fulton,Georgia,33.6273,-84.58
Sparks,Nevada,39.5736,-119.7161
Eau Claire,Wisconsin,44.8197,-91.4948
Auburn,Alabama,32.6087,-85.4903
Dearborn,Michigan,42.3127,-83.213
Riverview,Florida,27.8227,-82.3023
Allen,Texas,33.1088,-96.6735
West Covina,California,34.0555,-117.9113
Centennial,Colorado,39.5926,-104.8673
Bloomington,Indiana,39.1637,-86.5257
Sandy Springs,Georgia,33.9366,-84.3703
El Monte,California,34.0739,-118.0291
Hillsboro,Oregon,45.5273,-122.936
Menifee,California,33.6909,-117.1849
Rio Rancho,New Mexico,35.2873,-106.6982
Davie,Florida,26.0789,-80.287
Jurupa Valley,California,34.001,-117.4706
Columbia,Maryland,39.2004,-76.859
Inglewood,California,33.9566,-118.3444
Spokane Valley,Washington,47.6626,-117.2346
Renton,Washington,47.4784,-122.1918
San Tan Valley,Arizona,33.1786,-111.5629
Burbank,California,34.1879,-118.3235
Brockton,Massachusetts,42.0821,-71.0242
El Cajon,California,32.8017,-116.9604
Rialto,California,34.1175,-117.3892
San Mateo,California,37.5522,-122.3121
Goodyear,Arizona,33.2614,-112.3622
Charlottesville,Virginia,38.0375,-78.4855
Lafayette,Colorado,39.9946,-105.0998
Lee's Summit,Missouri,38.9171,-94.3816
Edinburg,Texas,26.3196,-98.1597
Daly City,California,37.6862,-122.4685
Wichita Falls,Texas,33.9072,-98.5291
Bowling Green,Kentucky,36.9716,-86.4378
Longmont,Colorado,40.1686,-105.1005
Vacaville,California,38.3587,-121.9673
Highlands Ranch,Colorado,39.5419,-104.9708
Quincy,Massachusetts,42.2506,-71.0187
Fishers,Indiana,39.9588,-85.9659
Lynn,Massachusetts,42.4781,-70.9664
Norwalk,California,33.9069,-118.0829
Carmel,Indiana,39.965,-86.146
Hesperia,California,34.3975,-117.3147
St. Augustine,Florida,29.8976,-81.31
Buckeye,Arizona,33.4314,-112.6429
San Angelo,Texas,31.4424,-100.4504
Federal Way,Washington,47.3091,-122.3358
Bismarck,North Dakota,46.8143,-100.7694
Boca Raton,Florida,26.3752,-80.108
New Braunfels,Texas,29.6994,-98.1148
Vista,California,33.1896,-117.2386
Beaverton,Oregon,45.4779,-122.8168
Portsmouth,Virginia,36.8468,-76.354
Orem,Utah,40.2981,-111.6994
Conroe,Texas,30.3238,-95.4824
Suffolk,Virginia,36.6953,-76.6398
Sunrise,Florida,26.1547,-80.2997
Lawrence,Kansas,38.9597,-95.2642
Arden-Arcade,California,38.6017,-121.3845
Prescott Valley,Arizona,34.598,-112.3185
Middletown,Ohio,39.5033,-84.3659
San Germán,Puerto Rico,18.0827,-67.046
Edmond,Oklahoma,35.6689,-97.416
Tracy,California,37.7269,-121.4523
Manteca,California,37.7927,-121.2264
Kingsport,Tennessee,36.5224,-82.5454
Portsmouth,New Hampshire,43.058,-70.7826
Sandy,Utah,40.5709,-111.8506
Palm Coast,Florida,29.5389,-81.2457
Slidell,Louisiana,30.2887,-89.7828
San Marcos,California,33.135,-117.1743
Livonia,Michigan,42.3972,-83.3733
Santa Fe,New Mexico,35.6619,-105.9819
Plantation,Florida,26.1259,-80.2617
Atascocita,Texas,29.9777,-95.1953
Fall River,Massachusetts,41.7136,-71.1015
Compton,California,33.893,-118.2274
Carson,California,33.8374,-118.2559
La Crosse,Wisconsin,43.8241,-91.2268
Missoula,Montana,46.8751,-114.0214
O'Fallon,Missouri,38.785,-90.7175
Mount Pleasant,South Carolina,32.8537,-79.8203
Roswell,Georgia,34.0391,-84.3513
Hoover,Alabama,33.3763,-86.8068
Florence,South Carolina,34.178,-79.7898
Williamsburg,Virginia,37.2693,-76.7076
South Gate,California,33.9447,-118.1926
Chino,California,33.9836,-117.6654
Fort Myers,Florida,26.6194,-81.8302
Kirkland,Washington,47.697,-122.2057
Santa Monica,California,34.0235,-118.481
Vineland,New Jersey,39.4653,-74.9981
Norwalk,Connecticut,41.1144,-73.4215
Alafaya,Florida,28.528,-81.1868
Lawton,Oklahoma,34.6175,-98.4202
Avondale,Arizona,33.3873,-112.3235
Germantown,Maryland,39.1755,-77.2643
Rapid City,South Dakota,44.0716,-103.2204
Westminster,California,33.7523,-117.9938
Clifton,New Jersey,40.863,-74.1575
Waukegan,Illinois,42.3698,-87.8716
Bloomington,Minnesota,44.8306,-93.3151
Mayagüez,Puerto Rico,18.2003,-67.1397
San Leandro,California,37.7074,-122.1599
Newton,Massachusetts,42.3316,-71.2085
Joplin,Missouri,37.0757,-94.5018
Lawrence,Massachusetts,42.7002,-71.1626
Springdale,Arkansas,36.1901,-94.1574
Troy,Michigan,42.5817,-83.1457
Citrus Heights,California,38.6948,-121.288
Deerfield Beach,Florida,26.305,-80.1277
Town 'n' Country,Florida,28.0106,-82.5763
Winchester,Virginia,39.1735,-78.1746
Mission,Texas,26.2039,-98.3256
Bryan,Texas,30.665,-96.3807
Hawthorne,California,33.9147,-118.3476
Whittier,California,33.9678,-118.0188
Livermore,California,37.6868,-121.7607
Lake Forest,California,33.6605,-117.6714
San Ramon,California,37.7624,-121.9365
Melbourne,Florida,28.1086,-80.6627
Franklin,Tennessee,35.92,-86.8516
Auburn,Washington,47.3039,-122.2108
Port Huron,Michigan,42.9821,-82.4388
Decatur,Illinois,39.8557,-88.9342
Baytown,Texas,29.7587,-94.9671
Brooklyn Park,Minnesota,45.1112,-93.3505
Springfield,Ohio,39.93,-83.7959
Newport Beach,California,33.6151,-117.8668
Westland,Michigan,42.3192,-83.3805
Newark,Ohio,40.0706,-82.425
Muncie,Indiana,40.1989,-85.395
Farmington Hills,Michigan,42.486,-83.3771
Cicero,Illinois,41.8445,-87.7593
Buena Park,California,33.8572,-118.0046
Warwick,Rhode Island,41.7062,-71.4334
Hattiesburg,Mississippi,31.3074,-89.317
Cranston,Rhode Island,41.7658,-71.4858
Albany,Georgia,31.5776,-84.1762
Layton,Utah,41.077,-111.962
Madera,California,36.963,-120.0778
Largo,Florida,27.9088,-82.7712
Redwood City,California,37.5025,-122.2253
Mountain View,California,37.4001,-122.0796
Pine Hills,Florida,28.5818,-81.4692
Folsom,California,38.6668,-121.1422
Silver Spring,Maryland,39.0028,-77.0207
Johns Creek,Georgia,34.0333,-84.2027
The Villages,Florida,28.9034,-81.9887
Owensboro,Kentucky,37.7575,-87.1172
Napa,California,38.2975,-122.301
New Rochelle,New York,40.9304,-73.7836
Alhambra,California,34.084,-118.1355
Cheyenne,Wyoming,41.135,-104.7902
Miami Beach,Florida,25.8171,-80.1396
Wenatchee,Washington,47.436,-120.3295
Jackson,Michigan,42.2431,-84.4038
Lehi,Utah,40.4136,-111.8725
Anderson,Indiana,40.0891,-85.6892
Homestead,Florida,25.4665,-80.4472
Florence,Alabama,34.8303,-87.6655
Rancho Cordova,California,38.5737,-121.2527
Morgantown,West Virginia,39.6383,-79.9464
Boynton Beach,Florida,26.5281,-80.0811
Somerville,Massachusetts,42.3908,-71.1014
North Port,Florida,27.0576,-82.1977
Lakewood,California,33.8471,-118.1222
Salisbury,Maryland,38.3756,-75.5865
South Jordan,Utah,40.557,-111.9784
Parma,Ohio,41.3843,-81.7286
Pharr,Texas,26.1685,-98.1904
State College,Pennsylvania,40.7909,-77.8567
Plymouth,Minnesota,45.0225,-93.4617
Turlock,California,37.5053,-120.8588
Davis,California,38.5553,-121.737
Perris,California,33.7898,-117.2233
Jonesboro,Arkansas,35.8212,-90.6791
Tustin,California,33.7311,-117.8107
Terre Haute,Indiana,39.466,-87.3751
Upland,California,34.1178,-117.6604
Georgetown,Texas,30.666,-97.6966
Texarkana,Texas,33.45,-94.0847
Kendall,Florida,25.6697,-80.3556
Pasco,Washington,46.2506,-119.1305
Milpitas,California,37.4336,-121.8921
Carmichael,California,38.6318,-121.3263
Chino Hills,California,33.9508,-117.7254
Flower Mound,Texas,33.0343,-97.1146
Flagstaff,Arizona,35.1872,-111.6194
Alton,Illinois,38.9037,-90.152
Pleasanton,California,37.6663,-121.8805
Cedar Park,Texas,30.5105,-97.8197
Bellflower,California,33.888,-118.1271
Loveland,Colorado,40.4166,-105.0623
Mansfield,Ohio,40.7656,-82.5275
Hammond,Indiana,41.6168,-87.4909
Bethlehem,Pennsylvania,40.6266,-75.3679
Woodbury,Minnesota,44.9057,-92.923
Alameda,California,37.7668,-122.267
Wyoming,Michigan,42.8908,-85.7066
Schaumburg,Illinois,42.0308,-88.0838
Castle Rock,Colorado,39.3763,-104.8535
Evanston,Illinois,42.0464,-87.6943
Doral,Florida,25.8152,-80.3565
St. Joseph,Missouri,39.7598,-94.821
Valdosta,Georgia,30.8502,-83.2788
Wausau,Wisconsin,44.962,-89.6459
Pocatello,Idaho,42.8724,-112.4647
Elizabethtown,Kentucky,37.7031,-85.8773
Anniston,Alabama,33.6712,-85.8135
Arlington Heights,Illinois,42.0955,-87.9826
Rochester Hills,Michigan,42.6645,-83.1563
Southfield,Michigan,42.4765,-83.2605
Daytona Beach,Florida,29.1995,-81.0982
Pittsburg,California,38.0182,-121.8965
Oshkosh,Wisconsin,44.0227,-88.5619
Redmond,Washington,47.6763,-122.1169
Saratoga Springs,New York,43.0674,-73.7775
Apple Valley,California,34.5352,-117.2109
Mansfield,Texas,32.569,-97.1213
Pawtucket,Rhode Island,41.8744,-71.3743
Missouri City,Texas,29.563,-95.5365
Broomfield,Colorado,39.9542,-105.0526
Janesville,Wisconsin,42.6854,-89.0135
San Marcos,Texas,29.8734,-97.9356
Camarillo,California,34.223,-119.0321
Jackson,Tennessee,35.6538,-88.8354
Dothan,Alabama,31.2336,-85.407
Sherman,Texas,33.6273,-96.6221
Lauderhill,Florida,26.1605,-80.2241
Harrisonburg,Virginia,38.4362,-78.8735
Bolingbrook,Illinois,41.6901,-88.1021
Ellicott City,Maryland,39.2774,-76.8345
Alexandria,Louisiana,31.2923,-92.4702
Battle Creek,Michigan,42.2985,-85.2296
New Britain,Connecticut,41.6759,-72.7862
Sheboygan,Wisconsin,43.7403,-87.7316
Brunswick,Georgia,31.1449,-81.4746
Altoona,Pennsylvania,40.5082,-78.4007
Lodi,California,38.1218,-121.2932
